COD;MUNI;cv_bcg;prop_populacao_com_renda_menosqmeio_SM;prop_populacao_pobreza_extrema;Renda_media_domic_per_capita;Taxa_de_analfabetismo;Taxa_de_desemprego_16a_emais;PIB_per_capita;Saneamento_inadequado;Taxa_urbanizacao;Gini;CoberturaESF;CoberturaAB;Inc_tb22;mort_tb22;prop_cont22;populacao_residente
500515;JUTI;123.58;43.15;5.64;359;18.1;4.78;23125.16;31.8;66.53;0.5266;100;100;14.57513523;14.57513523;0;6861
500520;LADARIO;80;39.28;4.91;304;5.8;9.34;10369.66;4.18;94.75;0.5344;100;100;37.437603;12.47920132;94.44444275;24040
500525;LAGUNA CARAPA;101.79;38.8;6.86;389;11.2;3.83;43741.07;37.49;42.17;0.5292;100;100;13.34044838;0;0;7496
500540;MARACAJU;85.43;27.04;2;570;7.3;4.45;43101.6;9.6;86.15;0.567;80.6;100;34.73357391;0;57.1428566;48944
500560;MIRANDA;75.21;53.68;9.77;252;13.2;7.64;13572.34;14.87;60.82;0.5526;61.58;100;42.21932983;0;100;28423
500568;MUNDO NOVO;99.24;31.98;2.25;470;11.4;9.16;18975.4;9.2;89.6;0.5144;93.92;100;26.91355324;0;100;18578
500570;NAVIRAI;88.61;22.99;1.52;428;10.1;7.65;24030.21;5.66;92.31;0.4822;62.87;76.53;37.17866898;1.770412803;100;56484
500580;NIOAQUE;62.8;51.42;9.89;332;11.8;6.22;12888.54;29.48;49.04;0.5968;100;100;43.49717331;0;100;13794
500600;NOVA ALVORADA DO SUL;64.67;25.12;2.22;515;8.7;4.81;45081.54;13.9;74.77;0.5881;78.83;100;39.18666077;8.708146095;0;22967
500620;NOVA ANDRADINA;98.05;24.42;1.9;382;8;5.92;28628.57;11.49;85.09;0.487;69.79;69.79;24.97457886;5.351695538;43.33333206;56057
500625;NOVO HORIZONTE DO SUL;81.94;31.83;2.22;385;12.8;2.36;26320.89;42.29;53.85;0.4063;100;100;0;0;0;3556
500627;PARAISO DAS AGUAS;70.77;0;0;0;0;0;57087.54;0;0;0;62.11;62.11;17.38828087;0;100;5751
500630;PARANAIBA;10.87;22.94;1.35;476;11;4.95;21083.76;11.46;88.96;0.5007;98.23;100;21.225914;2.358434916;100;42401
500635;PARANHOS;107.62;70.72;31.59;144;19.6;2.09;9076.8;40.83;50.71;0.6555;72.74;72.74;48.02415085;0;100;14576
500640;PEDRO GOMES;66.67;40.51;3.02;395;14.8;5.64;18875.52;23.66;77.17;0.4883;89.91;89.91;26.42706108;13.21353054;100;7568
500660;PONTA PORA;160.95;40.88;6.96;284;8.9;5.29;21209.86;16.4;79.7;0.6041;67.12;79.92;36.71842194;3.147293329;97.72727203;95320
500690;PORTO MURTINHO;89.95;48.22;7.06;339;10.4;6.48;16725.97;8.45;65.44;0.6237;80.56;80.56;22.90950775;5.727376938;100;17460
500710;RIBAS DO RIO PARDO;87.5;33.03;2.12;465;10.9;6.28;26451.47;22.34;61.9;0.4776;70.08;100;126.4322433;7.902015209;99.31972504;25310
500720;RIO BRILHANTE;81.99;27.33;1.92;388;7;5.42;43374.14;12.84;80.09;0.5309;55.18;55.18;33.46720123;0;88.23529053;38844
500730;RIO NEGRO;62.96;35.69;3.31;430;11.8;7.22;13993.39;21.98;72.78;0.5509;100;100;42.0344696;0;100;4758
500740;RIO VERDE DE MATO GROSSO;54.7;28.04;2.07;414;11.7;6.93;18005.48;14.13;86.27;0.4632;100;100;39.9500618;0;66.66666412;20025
500750;ROCHEDO;39.73;38.93;2.55;403;6.5;3.03;21433.85;24.69;58.62;0.4846;100;100;19.53125;0;100;5120
500755;SANTA RITA DO PARDO;217.14;37.3;3.17;386;12.7;4.61;20620.93;35.17;48.52;0.4448;87.89;87.89;62.90890884;12.58178139;100;7948
